payment_id,order_id,payment_method,amount,status,transaction_date,failure_reason,refund_amount
PAY_0000077,ORD_0000077,Credit Card,327.67,Completed,2024-03-08,,0.0
PAY_0000078,ORD_0000078,Credit Card,100.08,Completed,2024-06-17,,0.0
PAY_0000079,ORD_0000079,Credit Card,59.82,Completed,2024-07-20,,0.0
PAY_0000080,ORD_0000080,PayPal,119.71,Completed,2024-10-14,,0.0
PAY_0000081,ORD_0000081,PayPal,193.16,Completed,2024-05-28,,0.0
PAY_0000082,ORD_0000082,Klarna,100.05,Failed,2024-06-11,Fraud flag,0.0
PAY_0000083,ORD_0000083,Credit Card,514.17,Completed,2023-07-01,,0.0
PAY_0000084,ORD_0000084,Credit Card,74.8,Completed,2023-08-13,,0.0
PAY_0000085,ORD_0000085,Credit Card,90.18,Partially Refunded,2023-09-11,,28.94
PAY_0000086,ORD_0000086,Credit Card,235.27,Completed,2023-12-28,,0.0
PAY_0000087,ORD_0000087,Credit Card,52.27,Partially Refunded,2023-11-28,,32.24
PAY_0000088,ORD_0000088,Credit Card,235.5,Completed,2023-12-09,,0.0
PAY_0000089,ORD_0000089,Credit Card,267.81,Partially Refunded,2024-04-05,,107.75
PAY_0000090,ORD_0000090,Apple Pay,218.34,Completed,2024-04-18,,0.0
PAY_0000091,ORD_0000091,Apple Pay,172.29,Completed,2024-04-24,,0.0
PAY_0000092,ORD_0000092,Credit Card,52.66,Failed,2024-05-09,Card declined,0.0
PAY_0000093,ORD_0000093,Credit Card,354.7,Completed,2024-08-09,,0.0
PAY_0000094,ORD_0000094,Credit Card,119.57,Pending,2024-09-22,,0.0
PAY_0000095,ORD_0000095,Credit Card,146.42,Partially Refunded,2023-06-22,,87.64
PAY_0000096,ORD_0000096,Debit Card,161.96,Partially Refunded,2023-08-06,,122.21
PAY_0000097,ORD_0000097,Credit Card,54.63,Partially Refunded,2023-11-27,,52.86
PAY_0000098,ORD_0000098,Credit Card,235.81,Completed,2024-01-02,,0.0
PAY_0000099,ORD_0000099,Credit Card,355.17,Completed,2024-03-19,,0.0
PAY_0000100,ORD_0000100,Klarna,183.06,Completed,2024-03-17,,0.0
PAY_0000101,ORD_0000101,Credit Card,118.85,Partially Refunded,2024-07-19,,78.98
PAY_0000102,ORD_0000102,Credit Card,96.89,Partially Refunded,2023-07-19,,49.6
PAY_0000103,ORD_0000103,Credit Card,52.0,Partially Refunded,2023-08-09,,16.47
PAY_0000104,ORD_0000104,Credit Card,170.66,Partially Refunded,2023-10-23,,68.19
PAY_0000105,ORD_0000105,Credit Card,92.83,Partially Refunded,2023-11-07,,39.55
PAY_0000106,ORD_0000106,Debit Card,117.6,Completed,2023-11-16,,0.0
PAY_0000107,ORD_0000107,Credit Card,117.86,Completed,2024-03-01,,0.0
PAY_0000108,ORD_0000108,Debit Card,118.98,Completed,2024-06-22,,0.0
PAY_0000109,ORD_0000109,Debit Card,52.88,Completed,2024-08-02,,0.0
PAY_0000110,ORD_0000110,Debit Card,26.32,Completed,2024-10-12,,0.0
PAY_0000111,ORD_0000111,Debit Card,48.95,Authorized,2024-11-15,,0.0
PAY_0000112,ORD_0000112,Credit Card,171.64,Completed,2024-11-20,,0.0
PAY_0000113,ORD_0000113,Credit Card,235.07,Completed,2023-11-05,,0.0
PAY_0000114,ORD_0000114,Debit Card,117.87,Completed,2024-03-03,,0.0
PAY_0000115,ORD_0000115,Credit Card,54.62,Completed,2023-07-02,,0.0
PAY_0000116,ORD_0000116,Klarna,229.74,Partially Refunded,2023-08-20,,129.73
PAY_0000117,ORD_0000117,Credit Card,119.32,Completed,2024-08-13,,0.0
PAY_0000118,ORD_0000118,PayPal,163.65,Partially Refunded,2023-05-24,,160.4
PAY_0000119,ORD_0000119,Credit Card,250.65,Partially Refunded,2023-07-07,,122.21
PAY_0000120,ORD_0000120,Credit Card,103.78,Partially Refunded,2023-07-10,,100.12
PAY_0000121,ORD_0000121,Debit Card,64.36,Completed,2023-09-22,,0.0
PAY_0000122,ORD_0000122,Debit Card,107.03,Completed,2024-02-03,,0.0
PAY_0000123,ORD_0000123,Credit Card,54.86,Refunded,2024-02-23,,36.76
PAY_0000124,ORD_0000124,Apple Pay,52.47,Completed,2024-02-17,,0.0
PAY_0000125,ORD_0000125,Credit Card,80.94,Partially Refunded,2024-02-22,,24.78
PAY_0000126,ORD_0000126,Credit Card,75.56,Completed,2024-04-13,,0.0
PAY_0000127,ORD_0000127,Credit Card,237.58,Completed,2024-05-21,,0.0
PAY_0000128,ORD_0000128,Apple Pay,178.19,Partially Refunded,2024-08-23,,130.64
PAY_0000129,ORD_0000129,Debit Card,49.89,Completed,2024-09-26,,0.0
PAY_0000130,ORD_0000130,Credit Card,53.01,Completed,2024-11-21,,0.0
PAY_0000131,ORD_0000131,Credit Card,26.37,Completed,2024-11-26,,0.0
PAY_0000132,ORD_0000132,Klarna,146.43,Completed,2023-02-03,,0.0
PAY_0000133,ORD_0000133,Debit Card,116.1,Completed,2023-03-24,,0.0
PAY_0000134,ORD_0000134,Credit Card,415.92,Completed,2023-09-25,,0.0
PAY_0000135,ORD_0000135,Credit Card,99.37,Partially Refunded,2024-02-04,,72.91
PAY_0000136,ORD_0000136,Credit Card,116.09,Completed,2023-03-23,,0.0
PAY_0000137,ORD_0000137,Apple Pay,51.89,Failed,2023-06-22,Fraud flag,0.0
PAY_0000138,ORD_0000138,Credit Card,147.18,Partially Refunded,2023-07-20,,115.98
PAY_0000139,ORD_0000139,Credit Card,60.02,Partially Refunded,2023-08-19,,32.04
PAY_0000140,ORD_0000140,Credit Card,94.89,Completed,2023-09-09,,0.0
PAY_0000141,ORD_0000141,Credit Card,16.5,Completed,2023-12-31,,0.0
PAY_0000142,ORD_0000142,Credit Card,38.23,Failed,2024-01-26,Insufficient funds,0.0
PAY_0000143,ORD_0000143,Credit Card,99.26,Completed,2024-10-14,,0.0
PAY_0000144,ORD_0000144,Klarna,141.92,Refunded,2023-07-30,,53.86
PAY_0000145,ORD_0000145,Credit Card,117.04,Refunded,2023-08-20,,69.3
PAY_0000146,ORD_0000146,Debit Card,163.22,Partially Refunded,2023-12-28,,82.02
PAY_0000147,ORD_0000147,Debit Card,302.48,Refunded,2024-06-23,,220.73
PAY_0000148,ORD_0000148,Credit Card,51.65,Completed,2023-03-19,,0.0
PAY_0000149,ORD_0000149,PayPal,51.6,Completed,2023-04-04,,0.0
PAY_0000150,ORD_0000150,Credit Card,64.0,Completed,2023-05-31,,0.0
PAY_0000151,ORD_0000151,Credit Card,52.02,Completed,2023-08-16,,0.0
PAY_0000152,ORD_0000152,PayPal,60.02,Completed,2023-08-19,,0.0
PAY_0000153,ORD_0000153,PayPal,52.3,Completed,2023-12-07,,0.0
PAY_0000154,ORD_0000154,Credit Card,53.08,Pending,2024-10-26,,0.0
PAY_0000155,ORD_0000155,Klarna,93.55,Completed,2024-05-29,,0.0
PAY_0000156,ORD_0000156,Debit Card,52.88,Completed,2024-08-29,,0.0
PAY_0000157,ORD_0000157,Credit Card,165.15,Completed,2024-08-04,,0.0
PAY_0000158,ORD_0000158,Credit Card,53.05,Completed,2024-10-15,,0.0
PAY_0000159,ORD_0000159,Credit Card,235.68,Completed,2023-12-24,,0.0
PAY_0000160,ORD_0000160,Debit Card,117.9,Completed,2024-01-02,,0.0
PAY_0000161,ORD_0000161,Apple Pay,87.82,Completed,2024-01-05,,0.0
PAY_0000162,ORD_0000162,Credit Card,118.51,Completed,2024-04-07,,0.0
PAY_0000163,ORD_0000163,Debit Card,55.07,Completed,2024-05-15,,0.0
PAY_0000164,ORD_0000164,Credit Card,241.95,Completed,2024-09-19,,0.0
PAY_0000165,ORD_0000165,Apple Pay,253.31,Partially Refunded,2023-11-18,,169.94
PAY_0000166,ORD_0000166,PayPal,392.46,Completed,2023-11-22,,0.0
PAY_0000167,ORD_0000167,Debit Card,117.66,Completed,2023-11-25,,0.0
PAY_0000168,ORD_0000168,Credit Card,159.58,Completed,2023-12-15,,0.0
PAY_0000169,ORD_0000169,Klarna,118.28,Completed,2024-03-03,,0.0
PAY_0000170,ORD_0000170,Credit Card,594.43,Refunded,2024-06-05,,297.02
PAY_0000171,ORD_0000171,Debit Card,76.64,Completed,2024-03-11,,0.0
PAY_0000172,ORD_0000172,Debit Card,98.46,Partially Refunded,2024-05-14,,94.34
PAY_0000173,ORD_0000173,Credit Card,237.82,Completed,2024-06-09,,0.0
PAY_0000174,ORD_0000174,Credit Card,195.05,Partially Refunded,2024-06-27,,120.82
PAY_0000175,ORD_0000175,Credit Card,239.54,Completed,2024-10-23,,0.0
PAY_0000176,ORD_0000176,Credit Card,55.53,Partially Refunded,2024-11-09,,22.11
PAY_0000177,ORD_0000177,Apple Pay,258.44,Partially Refunded,2024-12-08,,91.32
PAY_0000178,ORD_0000178,PayPal,60.6,Completed,2024-12-26,,0.0
PAY_0000179,ORD_0000179,Debit Card,26.37,Completed,2024-11-27,,0.0
PAY_0000180,ORD_0000180,Credit Card,61.37,Partially Refunded,2024-11-30,,49.24
PAY_0000181,ORD_0000181,Credit Card,116.35,Completed,2023-03-09,,0.0
PAY_0000182,ORD_0000182,Credit Card,116.41,Completed,2023-05-13,,0.0
PAY_0000183,ORD_0000183,Credit Card,294.78,Partially Refunded,2023-06-12,,131.57
PAY_0000184,ORD_0000184,Credit Card,51.86,Partially Refunded,2023-06-15,,16.06
PAY_0000185,ORD_0000185,Credit Card,51.87,Partially Refunded,2023-06-18,,42.63
PAY_0000186,ORD_0000186,Credit Card,51.89,Completed,2023-06-21,,0.0
PAY_0000187,ORD_0000187,Credit Card,234.08,Refunded,2023-08-19,,158.49
PAY_0000188,ORD_0000188,PayPal,117.35,Completed,2023-10-08,,0.0
PAY_0000189,ORD_0000189,Credit Card,281.09,Completed,2023-12-28,,0.0
PAY_0000190,ORD_0000190,Credit Card,239.39,Completed,2024-03-01,,0.0
PAY_0000191,ORD_0000191,PayPal,118.44,Completed,2024-03-28,,0.0
PAY_0000192,ORD_0000192,Debit Card,356.17,Completed,2024-05-12,,0.0
PAY_0000193,ORD_0000193,Apple Pay,26.18,Pending,2024-07-15,,0.0
PAY_0000194,ORD_0000194,Credit Card,119.78,Completed,2024-10-25,,0.0
PAY_0000195,ORD_0000195,Credit Card,54.36,Partially Refunded,2023-08-12,,25.82
PAY_0000196,ORD_0000196,Credit Card,117.12,Completed,2023-09-01,,0.0
PAY_0000197,ORD_0000197,Credit Card,38.09,Completed,2023-11-06,,0.0
PAY_0000198,ORD_0000198,Klarna,43.11,Completed,2023-11-25,,0.0
PAY_0000199,ORD_0000199,Credit Card,171.0,Partially Refunded,2023-11-28,,58.5
PAY_0000200,ORD_0000200,Credit Card,72.29,Completed,2024-09-10,,0.0
PAY_0000201,ORD_0000201,PayPal,64.99,Completed,2024-10-16,,0.0
PAY_0000202,ORD_0000202,Credit Card,255.61,Refunded,2024-10-21,,117.8
PAY_0000203,ORD_0000203,Debit Card,470.45,Refunded,2023-11-17,,371.56
PAY_0000204,ORD_0000204,Debit Card,59.15,Pending,2023-10-20,,0.0
PAY_0000205,ORD_0000205,Debit Card,117.87,Completed,2023-12-28,,0.0
PAY_0000206,ORD_0000206,Credit Card,118.71,Partially Refunded,2024-05-09,,110.4
PAY_0000207,ORD_0000207,Credit Card,83.24,Completed,2024-10-01,,0.0
PAY_0000208,ORD_0000208,PayPal,353.52,Completed,2023-12-24,,0.0
PAY_0000209,ORD_0000209,Credit Card,82.68,Partially Refunded,2024-10-11,,81.1
PAY_0000210,ORD_0000210,Credit Card,77.94,Completed,2024-12-13,,0.0
PAY_0000211,ORD_0000211,Credit Card,115.98,Partially Refunded,2023-03-14,,78.32
PAY_0000212,ORD_0000212,Credit Card,115.95,Completed,2023-04-07,,0.0
PAY_0000213,ORD_0000213,Credit Card,348.36,Completed,2023-03-27,,0.0
PAY_0000214,ORD_0000214,Credit Card,234.64,Completed,2023-10-03,,0.0
PAY_0000215,ORD_0000215,PayPal,118.96,Completed,2024-06-17,,0.0
PAY_0000216,ORD_0000216,Credit Card,54.59,Completed,2023-12-16,,0.0
PAY_0000217,ORD_0000217,Credit Card,52.68,Completed,2024-05-18,,0.0
PAY_0000218,ORD_0000218,Credit Card,118.43,Completed,2024-03-26,,0.0
PAY_0000219,ORD_0000219,PayPal,343.62,Refunded,2024-03-29,,165.84
PAY_0000220,ORD_0000220,PayPal,59.7,Completed,2024-04-23,,0.0
PAY_0000221,ORD_0000221,PayPal,35.63,Completed,2024-06-25,,0.0
PAY_0000222,ORD_0000222,Credit Card,119.65,Partially Refunded,2024-10-05,,74.64
PAY_0000223,ORD_0000223,Credit Card,277.59,Partially Refunded,2023-05-10,,236.88
PAY_0000224,ORD_0000224,Credit Card,97.65,Completed,2023-05-16,,0.0
PAY_0000225,ORD_0000225,Debit Card,60.23,Completed,2023-06-16,,0.0
PAY_0000226,ORD_0000226,Debit Card,350.86,Completed,2023-08-05,,0.0
PAY_0000227,ORD_0000227,PayPal,117.36,Completed,2023-10-09,,0.0
PAY_0000228,ORD_0000228,Debit Card,236.28,Authorized,2024-02-10,,0.0
PAY_0000229,ORD_0000229,Credit Card,120.27,Partially Refunded,2024-11-15,,43.59
PAY_0000230,ORD_0000230,Credit Card,73.23,Completed,2024-11-19,,0.0
PAY_0000231,ORD_0000231,PayPal,506.43,Partially Refunded,2023-03-17,,432.89
PAY_0000232,ORD_0000232,Klarna,49.51,Completed,2023-07-29,,0.0
PAY_0000233,ORD_0000233,Credit Card,211.06,Completed,2023-08-01,,0.0
PAY_0000234,ORD_0000234,Credit Card,107.05,Completed,2024-02-06,,0.0
PAY_0000235,ORD_0000235,Klarna,119.06,Completed,2024-07-03,,0.0
PAY_0000236,ORD_0000236,Credit Card,54.11,Partially Refunded,2023-05-07,,48.12
PAY_0000237,ORD_0000237,PayPal,116.4,Completed,2023-05-10,,0.0
PAY_0000238,ORD_0000238,Credit Card,257.98,Completed,2023-05-29,,0.0
PAY_0000239,ORD_0000239,Apple Pay,116.52,Completed,2023-05-30,,0.0
PAY_0000240,ORD_0000240,Credit Card,60.16,Completed,2023-10-06,,0.0
PAY_0000241,ORD_0000241,Credit Card,287.88,Completed,2023-10-12,,0.0
PAY_0000242,ORD_0000242,Klarna,159.73,Pending,2023-10-31,,0.0
PAY_0000243,ORD_0000243,Credit Card,280.25,Refunded,2023-11-03,,256.44
PAY_0000244,ORD_0000244,Debit Card,68.92,Completed,2023-11-23,,0.0
PAY_0000245,ORD_0000245,Credit Card,326.44,Partially Refunded,2023-12-28,,301.77
PAY_0000246,ORD_0000246,Credit Card,118.09,Completed,2024-02-01,,0.0
PAY_0000247,ORD_0000247,Apple Pay,171.9,Completed,2024-02-07,,0.0
PAY_0000248,ORD_0000248,Apple Pay,118.26,Partially Refunded,2024-04-06,,70.21
PAY_0000249,ORD_0000249,Credit Card,71.98,Partially Refunded,2024-08-01,,51.49
PAY_0000250,ORD_0000250,Debit Card,189.62,Authorized,2024-08-19,,0.0
PAY_0000251,ORD_0000251,Credit Card,28.49,Failed,2024-11-11,Expired card,0.0
PAY_0000252,ORD_0000252,PayPal,82.81,Partially Refunded,2024-11-14,,53.96
PAY_0000253,ORD_0000253,Credit Card,120.01,Completed,2024-11-30,,0.0
PAY_0000254,ORD_0000254,Credit Card,86.26,Refunded,2024-11-03,,40.23
PAY_0000255,ORD_0000255,Credit Card,119.77,Partially Refunded,2024-10-24,,113.78
PAY_0000256,ORD_0000256,Debit Card,61.29,Completed,2024-12-11,,0.0
PAY_0000257,ORD_0000257,Credit Card,82.94,Pending,2024-12-14,,0.0
PAY_0000258,ORD_0000258,Credit Card,80.3,Refunded,2024-07-04,,57.37
PAY_0000259,ORD_0000259,Credit Card,82.79,Completed,2024-11-09,,0.0
PAY_0000260,ORD_0000260,PayPal,118.53,Completed,2024-04-11,,0.0
PAY_0000261,ORD_0000261,PayPal,218.71,Completed,2024-06-24,,0.0
PAY_0000262,ORD_0000262,Klarna,52.86,Partially Refunded,2024-07-26,,25.17
PAY_0000263,ORD_0000263,Debit Card,26.24,Completed,2024-08-25,,0.0
PAY_0000264,ORD_0000264,Debit Card,61.1,Completed,2024-08-28,,0.0
PAY_0000265,ORD_0000265,Credit Card,76.22,Partially Refunded,2024-09-01,,70.56
PAY_0000266,ORD_0000266,Credit Card,154.88,Completed,2024-03-25,,0.0
PAY_0000267,ORD_0000267,Credit Card,52.57,Pending,2024-03-28,,0.0
PAY_0000268,ORD_0000268,Credit Card,52.64,Completed,2024-04-26,,0.0
PAY_0000269,ORD_0000269,Debit Card,79.12,Partially Refunded,2024-05-01,,52.43
PAY_0000270,ORD_0000270,Credit Card,91.35,Completed,2024-05-09,,0.0
PAY_0000271,ORD_0000271,Credit Card,79.24,Partially Refunded,2024-07-22,,31.11
PAY_0000272,ORD_0000272,Klarna,77.76,Completed,2024-10-28,,0.0
PAY_0000273,ORD_0000273,Apple Pay,350.52,Completed,2024-11-04,,0.0
PAY_0000274,ORD_0000274,PayPal,52.97,Completed,2024-12-31,,0.0
PAY_0000275,ORD_0000275,PayPal,118.09,Completed,2024-01-31,,0.0
PAY_0000276,ORD_0000276,Klarna,60.75,Completed,2023-12-12,,0.0
PAY_0000277,ORD_0000277,Credit Card,130.1,Completed,2024-07-08,,0.0
PAY_0000278,ORD_0000278,Credit Card,94.86,Completed,2024-09-07,,0.0
PAY_0000279,ORD_0000279,Debit Card,99.12,Completed,2024-09-22,,0.0
PAY_0000280,ORD_0000280,PayPal,119.73,Completed,2024-10-17,,0.0
PAY_0000281,ORD_0000281,Credit Card,53.0,Pending,2024-11-18,,0.0
PAY_0000282,ORD_0000282,Credit Card,71.17,Completed,2023-10-23,,0.0
PAY_0000283,ORD_0000283,Credit Card,60.22,Partially Refunded,2023-10-29,,49.22
PAY_0000284,ORD_0000284,PayPal,234.9,Completed,2023-10-23,,0.0
PAY_0000285,ORD_0000285,PayPal,60.74,Completed,2023-12-07,,0.0
PAY_0000286,ORD_0000286,Debit Card,117.77,Completed,2023-12-14,,0.0
PAY_0000287,ORD_0000287,Debit Card,118.76,Completed,2024-05-16,,0.0
PAY_0000288,ORD_0000288,Klarna,237.56,Completed,2024-05-19,,0.0
PAY_0000289,ORD_0000289,Credit Card,253.1,Completed,2024-10-08,,0.0
PAY_0000290,ORD_0000290,Credit Card,119.69,Pending,2024-10-10,,0.0
PAY_0000291,ORD_0000291,Apple Pay,239.91,Completed,2024-11-21,,0.0
PAY_0000292,ORD_0000292,Credit Card,132.76,Completed,2024-12-13,,0.0
PAY_0000293,ORD_0000293,Credit Card,51.89,Pending,2023-06-24,,0.0
PAY_0000294,ORD_0000294,Debit Card,117.17,Completed,2023-09-09,,0.0
PAY_0000295,ORD_0000295,Credit Card,117.9,Completed,2024-01-02,,0.0
PAY_0000296,ORD_0000296,Credit Card,409.33,Refunded,2024-03-25,,222.57
PAY_0000297,ORD_0000297,Credit Card,55.09,Completed,2024-05-25,,0.0
PAY_0000298,ORD_0000298,Debit Card,237.66,Completed,2024-05-29,,0.0
PAY_0000299,ORD_0000299,PayPal,236.35,Completed,2024-02-15,,0.0
PAY_0000300,ORD_0000300,Debit Card,33.48,Completed,2024-05-18,,0.0
PAY_0000301,ORD_0000301,Apple Pay,52.61,Partially Refunded,2024-04-13,,44.11
PAY_0000302,ORD_0000302,Apple Pay,356.82,Refunded,2024-06-15,,146.3
PAY_0000303,ORD_0000303,Credit Card,16.6,Completed,2024-06-24,,0.0
PAY_0000304,ORD_0000304,Credit Card,185.43,Completed,2024-08-14,,0.0
PAY_0000305,ORD_0000305,Credit Card,93.58,Pending,2024-10-27,,0.0
PAY_0000306,ORD_0000306,PayPal,53.13,Partially Refunded,2024-11-14,,49.33
PAY_0000307,ORD_0000307,Apple Pay,52.36,Completed,2024-01-03,,0.0
PAY_0000308,ORD_0000308,Credit Card,117.95,Pending,2024-02-06,,0.0
PAY_0000309,ORD_0000309,Credit Card,59.69,Completed,2024-04-19,,0.0
PAY_0000310,ORD_0000310,Debit Card,59.08,Failed,2023-09-21,Card declined,0.0
PAY_0000311,ORD_0000311,Debit Card,351.83,Completed,2023-09-26,,0.0
PAY_0000312,ORD_0000312,Debit Card,117.47,Completed,2023-10-27,,0.0
PAY_0000313,ORD_0000313,Debit Card,234.99,Completed,2023-10-30,,0.0
PAY_0000314,ORD_0000314,PayPal,52.22,Completed,2023-11-08,,0.0
PAY_0000315,ORD_0000315,Credit Card,54.62,Completed,2023-11-23,,0.0
PAY_0000316,ORD_0000316,Credit Card,118.01,Completed,2024-01-20,,0.0
PAY_0000317,ORD_0000317,Credit Card,118.17,Completed,2024-02-15,,0.0
PAY_0000318,ORD_0000318,Debit Card,118.76,Completed,2024-05-16,,0.0
PAY_0000319,ORD_0000319,Klarna,59.85,Completed,2024-06-13,,0.0
PAY_0000320,ORD_0000320,Credit Card,53.14,Completed,2024-12-28,,0.0
PAY_0000321,ORD_0000321,Credit Card,52.29,Authorized,2023-12-06,,0.0
PAY_0000322,ORD_0000322,Debit Card,59.54,Refunded,2024-02-29,,23.91
PAY_0000323,ORD_0000323,Apple Pay,75.76,Completed,2024-04-30,,0.0
PAY_0000324,ORD_0000324,Klarna,382.32,Completed,2024-08-02,,0.0
PAY_0000325,ORD_0000325,Credit Card,280.77,Completed,2023-12-07,,0.0
