order_id,customer_id,order_date,order_status,region,primary_warehouse_id,order_subtotal,discount_amount,shipping_cost,tax_amount,order_total,payment_method,promo_id,cancelled_date,cancel_reason
ORD_0000049,CUST_00012,2024-09-24,COMPLETE,East,WH_4,17.88,0.0,6.99,1.43,26.3,Credit Card,,,
ORD_0000050,CUST_00012,2024-09-29,COMPLETE,East,WH_3,134.27,0.0,0.0,10.74,145.01,PayPal,,,
ORD_0000051,CUST_00014,2023-05-17,COMPLETE,East,WH_3,82.98,0.0,0.0,6.64,89.62,Credit Card,,,
ORD_0000052,CUST_00014,2023-06-03,COMPLETE,East,WH_2,107.92,0.0,0.0,8.63,116.55,Credit Card,,,
ORD_0000053,CUST_00014,2023-06-10,COMPLETE,East,WH_3,323.88,0.0,0.0,25.91,349.79,Klarna,,,
ORD_0000054,CUST_00014,2023-07-12,COMPLETE,East,WH_3,111.84,0.0,0.0,8.95,120.79,Credit Card,,,
ORD_0000055,CUST_00014,2023-07-27,COMPLETE,East,WH_4,59.14,0.15,6.99,4.72,70.7,Credit Card,PRM03,,
ORD_0000056,CUST_00014,2023-09-13,COMPLETE,East,WH_4,392.38,0.0,0.0,31.39,423.77,Credit Card,,,
ORD_0000057,CUST_00014,2023-09-11,COMPLETE,East,WH_2,108.5,0.0,0.0,8.68,117.18,Debit Card,,,
ORD_0000058,CUST_00014,2023-08-26,COMPLETE,East,WH_3,108.41,0.0,0.0,8.67,117.08,Credit Card,,,
ORD_0000059,CUST_00014,2023-10-18,COMPLETE,East,WH_3,622.68,0.0,0.0,49.81,672.49,PayPal,,,
ORD_0000060,CUST_00014,2023-10-26,COMPLETE,East,WH_3,200.0,0.0,0.0,16.0,216.0,Klarna,,,
ORD_0000061,CUST_00014,2024-01-22,COMPLETE,East,WH_3,88.5,0.0,0.0,7.08,95.58,PayPal,,,
ORD_0000062,CUST_00014,2024-03-25,COMPLETE,East,WH_3,143.41,0.0,0.0,11.47,154.88,Credit Card,,,
ORD_0000063,CUST_00014,2024-06-05,CANCELED,East,WH_3,26.5,0.0,6.99,2.12,35.61,Credit Card,,2024-06-07,Delivery too slow
ORD_0000064,CUST_00014,2024-06-10,COMPLETE,East,WH_4,110.1,0.0,0.0,8.81,118.91,Credit Card,,,
ORD_0000065,CUST_00014,2024-06-18,CANCELED,East,WH_3,42.38,0.0,6.99,3.39,52.76,Klarna,,2024-06-18,Ordered by mistake
ORD_0000066,CUST_00014,2024-07-13,CLOSED,East,WH_3,42.44,0.0,6.99,3.4,52.83,Credit Card,,,
ORD_0000067,CUST_00014,2024-07-21,COMPLETE,East,WH_3,110.34,0.28,0.0,8.8,118.86,Credit Card,PRM08,,
ORD_0000068,CUST_00014,2024-10-21,COMPLETE,East,WH_5,165.51,0.0,0.0,13.24,178.75,Debit Card,,,
ORD_0000069,CUST_00015,2023-04-04,COMPLETE,South,WH_2,148.96,0.0,0.0,11.92,160.88,Debit Card,,,
ORD_0000070,CUST_00015,2023-04-12,COMPLETE,South,WH_2,107.61,0.22,0.0,8.59,115.98,Credit Card,PRM02,,
ORD_0000071,CUST_00015,2023-05-01,COMPLETE,South,WH_2,58.86,0.0,6.99,4.71,70.56,Credit Card,,,
ORD_0000072,CUST_00015,2023-06-13,CANCELED,South,WH_2,107.98,0.0,0.0,8.64,116.62,Debit Card,,2023-06-13,Delivery too slow
ORD_0000073,CUST_00015,2023-07-11,COMPLETE,South,WH_2,59.09,0.0,6.99,4.73,70.81,PayPal,,,
ORD_0000074,CUST_00015,2023-08-25,COMPLETE,South,WH_2,49.49,0.0,6.99,3.96,60.44,Credit Card,,,
ORD_0000075,CUST_00015,2023-11-20,COMPLETE,South,WH_1,54.67,0.0,6.99,4.37,66.03,PayPal,,,
ORD_0000076,CUST_00015,2023-12-29,COMPLETE,South,WH_2,218.28,0.0,0.0,17.46,235.74,Credit Card,,,
ORD_0000077,CUST_00015,2024-03-08,COMPLETE,South,WH_2,303.4,0.0,0.0,24.27,327.67,Credit Card,,,
ORD_0000078,CUST_00015,2024-06-17,COMPLETE,South,WH_5,92.67,0.0,0.0,7.41,100.08,Credit Card,,,
ORD_0000079,CUST_00015,2024-07-20,COMPLETE,South,WH_2,49.04,0.12,6.99,3.91,59.82,Credit Card,PRM08,,
ORD_0000080,CUST_00015,2024-10-14,COMPLETE,South,WH_2,110.84,0.0,0.0,8.87,119.71,PayPal,,,
ORD_0000081,CUST_00016,2024-05-28,COMPLETE,North,WH_4,178.85,0.0,0.0,14.31,193.16,PayPal,,,
ORD_0000082,CUST_00016,2024-06-11,SUSPECTED_FRAUD,North,WH_5,92.64,0.0,0.0,7.41,100.05,Klarna,,,
ORD_0000083,CUST_00017,2023-07-01,COMPLETE,West,WH_4,476.08,0.0,0.0,38.09,514.17,Credit Card,,,
ORD_0000084,CUST_00017,2023-08-13,COMPLETE,West,WH_4,62.79,0.0,6.99,5.02,74.8,Credit Card,,,
ORD_0000085,CUST_00017,2023-09-11,CLOSED,West,WH_4,83.5,0.0,0.0,6.68,90.18,Credit Card,,,
ORD_0000086,CUST_00017,2023-12-28,COMPLETE,West,WH_4,218.28,0.44,0.0,17.43,235.27,Credit Card,PRM05,,
ORD_0000087,CUST_00019,2023-11-28,COMPLETE,West,WH_4,41.93,0.0,6.99,3.35,52.27,Credit Card,,,
ORD_0000088,CUST_00019,2023-12-09,COMPLETE,West,WH_4,218.06,0.0,0.0,17.44,235.5,Credit Card,,,
ORD_0000089,CUST_00019,2024-04-05,COMPLETE,West,WH_2,248.47,0.5,0.0,19.84,267.81,Credit Card,PRM07,,
ORD_0000090,CUST_00019,2024-04-18,COMPLETE,West,WH_4,202.17,0.0,0.0,16.17,218.34,Apple Pay,,,
ORD_0000091,CUST_00019,2024-04-24,COMPLETE,West,WH_4,159.53,0.0,0.0,12.76,172.29,Apple Pay,,,
ORD_0000092,CUST_00019,2024-05-09,COMPLETE,West,WH_5,42.29,0.0,6.99,3.38,52.66,Credit Card,,,
ORD_0000093,CUST_00019,2024-08-09,COMPLETE,West,WH_4,328.43,0.0,0.0,26.27,354.7,Credit Card,,,
ORD_0000094,CUST_00019,2024-09-22,PENDING,West,WH_4,110.71,0.0,0.0,8.86,119.57,Credit Card,,,
ORD_0000095,CUST_00020,2023-06-22,COMPLETE,South,WH_5,135.57,0.0,0.0,10.85,146.42,Credit Card,,,
ORD_0000096,CUST_00020,2023-08-06,COMPLETE,South,WH_2,149.96,0.0,0.0,12.0,161.96,Debit Card,,,
ORD_0000097,CUST_00020,2023-11-27,COMPLETE,South,WH_3,44.11,0.0,6.99,3.53,54.63,Credit Card,,,
ORD_0000098,CUST_00020,2024-01-02,COMPLETE,South,WH_2,218.34,0.0,0.0,17.47,235.81,Credit Card,,,
ORD_0000099,CUST_00020,2024-03-19,COMPLETE,South,WH_2,328.86,0.0,0.0,26.31,355.17,Credit Card,,,
ORD_0000100,CUST_00020,2024-03-17,COMPLETE,South,WH_5,169.5,0.0,0.0,13.56,183.06,Klarna,,,
ORD_0000101,CUST_00020,2024-07-19,COMPLETE,South,WH_2,110.33,0.28,0.0,8.8,118.85,Credit Card,PRM08,,
ORD_0000102,CUST_00022,2023-07-19,COMPLETE,South,WH_3,89.71,0.0,0.0,7.18,96.89,Credit Card,,,
ORD_0000103,CUST_00022,2023-08-09,COMPLETE,South,WH_3,41.68,0.0,6.99,3.33,52.0,Credit Card,,,
ORD_0000104,CUST_00022,2023-10-23,COMPLETE,South,WH_5,158.02,0.0,0.0,12.64,170.66,Credit Card,,,
ORD_0000105,CUST_00022,2023-11-07,COMPLETE,South,WH_2,85.95,0.0,0.0,6.88,92.83,Credit Card,,,
ORD_0000106,CUST_00022,2023-11-16,COMPLETE,South,WH_2,108.89,0.0,0.0,8.71,117.6,Debit Card,,,
ORD_0000107,CUST_00022,2024-03-01,COMPLETE,South,WH_5,109.51,0.38,0.0,8.73,117.86,Credit Card,PRM12,,
ORD_0000108,CUST_00022,2024-06-22,CLOSED,South,WH_2,110.17,0.0,0.0,8.81,118.98,Debit Card,,,
ORD_0000109,CUST_00022,2024-08-02,COMPLETE,South,WH_1,42.49,0.0,6.99,3.4,52.88,Debit Card,,,
ORD_0000110,CUST_00022,2024-10-12,COMPLETE,South,WH_5,17.9,0.0,6.99,1.43,26.32,Debit Card,,,
ORD_0000111,CUST_00022,2024-11-15,ON_HOLD,South,WH_2,38.85,0.0,6.99,3.11,48.95,Debit Card,,,
ORD_0000112,CUST_00022,2024-11-20,COMPLETE,South,WH_2,159.41,0.48,0.0,12.71,171.64,Credit Card,PRM10,,
ORD_0000113,CUST_00023,2023-11-05,CLOSED,East,WH_3,217.66,0.0,0.0,17.41,235.07,Credit Card,,,
ORD_0000114,CUST_00023,2024-03-03,COMPLETE,East,WH_3,109.52,0.38,0.0,8.73,117.87,Debit Card,PRM12,,
ORD_0000115,CUST_00024,2023-07-02,COMPLETE,East,WH_3,44.1,0.0,6.99,3.53,54.62,Credit Card,,,
ORD_0000116,CUST_00024,2023-08-20,COMPLETE,East,WH_3,212.72,0.0,0.0,17.02,229.74,Klarna,,,
ORD_0000117,CUST_00024,2024-08-13,COMPLETE,East,WH_4,110.48,0.0,0.0,8.84,119.32,Credit Card,,,
ORD_0000118,CUST_00025,2023-05-24,COMPLETE,West,WH_1,151.53,0.0,0.0,12.12,163.65,PayPal,,,
ORD_0000119,CUST_00025,2023-07-07,COMPLETE,West,WH_1,232.08,0.0,0.0,18.57,250.65,Credit Card,,,
ORD_0000120,CUST_00025,2023-07-10,COMPLETE,West,WH_4,96.09,0.0,0.0,7.69,103.78,Credit Card,,,
ORD_0000121,CUST_00025,2023-09-22,COMPLETE,West,WH_4,53.12,0.0,6.99,4.25,64.36,Debit Card,,,
ORD_0000122,CUST_00025,2024-02-03,COMPLETE,West,WH_4,99.1,0.0,0.0,7.93,107.03,Debit Card,,,
ORD_0000123,CUST_00025,2024-02-23,CANCELED,West,WH_2,44.32,0.0,6.99,3.55,54.86,Credit Card,,2024-02-23,Ordered by mistake
ORD_0000124,CUST_00025,2024-02-17,COMPLETE,West,WH_4,42.11,0.0,6.99,3.37,52.47,Apple Pay,,,
ORD_0000125,CUST_00025,2024-02-22,COMPLETE,West,WH_4,68.47,0.0,6.99,5.48,80.94,Credit Card,,,
ORD_0000126,CUST_00025,2024-04-13,COMPLETE,West,WH_5,63.62,0.13,6.99,5.08,75.56,Credit Card,PRM07,,
ORD_0000127,CUST_00025,2024-05-21,COMPLETE,West,WH_4,219.98,0.0,0.0,17.6,237.58,Credit Card,,,
ORD_0000128,CUST_00025,2024-08-23,COMPLETE,West,WH_4,164.99,0.0,0.0,13.2,178.19,Apple Pay,,,
ORD_0000129,CUST_00025,2024-09-26,COMPLETE,West,WH_3,39.72,0.0,6.99,3.18,49.89,Debit Card,,,
ORD_0000130,CUST_00025,2024-11-21,COMPLETE,West,WH_1,42.74,0.13,6.99,3.41,53.01,Credit Card,PRM10,,
ORD_0000131,CUST_00025,2024-11-26,COMPLETE,West,WH_4,17.94,0.0,6.99,1.44,26.37,Credit Card,,,
ORD_0000132,CUST_00026,2023-02-03,COMPLETE,South,WH_2,135.58,0.0,0.0,10.85,146.43,Klarna,,,
ORD_0000133,CUST_00026,2023-03-24,COMPLETE,South,WH_2,107.5,0.0,0.0,8.6,116.1,Debit Card,,,
ORD_0000134,CUST_00026,2023-09-25,COMPLETE,South,WH_2,385.11,0.0,0.0,30.81,415.92,Credit Card,,,
ORD_0000135,CUST_00026,2024-02-04,COMPLETE,South,WH_2,92.01,0.0,0.0,7.36,99.37,Credit Card,,,
ORD_0000136,CUST_00027,2023-03-23,COMPLETE,West,WH_4,107.49,0.0,0.0,8.6,116.09,Credit Card,,,
ORD_0000137,CUST_00027,2023-06-22,SUSPECTED_FRAUD,West,WH_4,41.57,0.0,6.99,3.33,51.89,Apple Pay,,,
ORD_0000138,CUST_00027,2023-07-20,PENDING_PAYMENT,West,WH_4,136.62,0.34,0.0,10.9,147.18,Credit Card,PRM03,,
ORD_0000139,CUST_00027,2023-08-19,PENDING,West,WH_1,49.1,0.0,6.99,3.93,60.02,Credit Card,,,
ORD_0000140,CUST_00027,2023-09-09,COMPLETE,West,WH_4,87.86,0.0,0.0,7.03,94.89,Credit Card,,,
ORD_0000141,CUST_00027,2023-12-31,COMPLETE,West,WH_1,8.81,0.0,6.99,0.7,16.5,Credit Card,,,
ORD_0000142,CUST_00027,2024-01-26,SUSPECTED_FRAUD,West,WH_4,28.93,0.0,6.99,2.31,38.23,Credit Card,,,
ORD_0000143,CUST_00027,2024-10-14,COMPLETE,West,WH_5,91.91,0.0,0.0,7.35,99.26,Credit Card,,,
ORD_0000144,CUST_00028,2023-07-30,PROCESSING,East,WH_1,131.41,0.0,0.0,10.51,141.92,Klarna,,,
ORD_0000145,CUST_00028,2023-08-20,CANCELED,East,WH_3,108.37,0.0,0.0,8.67,117.04,Credit Card,,2023-08-22,Delivery too slow
ORD_0000146,CUST_00028,2023-12-28,COMPLETE,East,WH_3,151.13,0.0,0.0,12.09,163.22,Debit Card,,,
ORD_0000147,CUST_00028,2024-06-23,COMPLETE,East,WH_5,280.07,0.0,0.0,22.41,302.48,Debit Card,,,
ORD_0000148,CUST_00029,2023-03-19,COMPLETE,West,WH_4,41.35,0.0,6.99,3.31,51.65,Credit Card,,,
ORD_0000149,CUST_00029,2023-04-04,COMPLETE,West,WH_4,41.39,0.08,6.99,3.3,51.6,PayPal,PRM02,,
ORD_0000150,CUST_00029,2023-05-31,COMPLETE,West,WH_4,52.79,0.0,6.99,4.22,64.0,Credit Card,,,
ORD_0000151,CUST_00029,2023-08-16,COMPLETE,West,WH_4,41.69,0.0,6.99,3.34,52.02,Credit Card,,,
ORD_0000152,CUST_00029,2023-08-19,COMPLETE,West,WH_4,49.1,0.0,6.99,3.93,60.02,PayPal,,,
ORD_0000153,CUST_00029,2023-12-07,COMPLETE,West,WH_4,41.95,0.0,6.99,3.36,52.3,PayPal,,,
ORD_0000154,CUST_00029,2024-10-26,PENDING,West,WH_4,42.68,0.0,6.99,3.41,53.08,Credit Card,,,
ORD_0000155,CUST_00030,2024-05-29,COMPLETE,South,WH_2,86.62,0.0,0.0,6.93,93.55,Klarna,,,
ORD_0000156,CUST_00030,2024-08-29,COMPLETE,South,WH_4,42.55,0.06,6.99,3.4,52.88,Debit Card,PRM09,,
ORD_0000157,CUST_00031,2024-08-04,COMPLETE,South,WH_2,152.92,0.0,0.0,12.23,165.15,Credit Card,,,
ORD_0000158,CUST_00031,2024-10-15,CLOSED,South,WH_2,42.65,0.0,6.99,3.41,53.05,Credit Card,,,
ORD_0000159,CUST_00032,2023-12-24,COMPLETE,North,WH_1,218.22,0.0,0.0,17.46,235.68,Credit Card,,,
ORD_0000160,CUST_00032,2024-01-02,COMPLETE,North,WH_2,109.17,0.0,0.0,8.73,117.9,Debit Card,,,
ORD_0000161,CUST_00032,2024-01-05,COMPLETE,North,WH_1,74.84,0.0,6.99,5.99,87.82,Apple Pay,,,
ORD_0000162,CUST_00032,2024-04-07,COMPLETE,North,WH_4,109.73,0.0,0.0,8.78,118.51,Credit Card,,,
ORD_0000163,CUST_00032,2024-05-15,COMPLETE,North,WH_4,44.52,0.0,6.99,3.56,55.07,Debit Card,,,
ORD_0000164,CUST_00032,2024-09-19,COMPLETE,North,WH_1,224.03,0.0,0.0,17.92,241.95,Credit Card,,,
ORD_0000165,CUST_00033,2023-11-18,COMPLETE,North,WH_1,234.55,0.0,0.0,18.76,253.31,Apple Pay,,,
ORD_0000166,CUST_00033,2023-11-22,COMPLETE,North,WH_2,363.39,0.0,0.0,29.07,392.46,PayPal,,,
ORD_0000167,CUST_00033,2023-11-25,COMPLETE,North,WH_1,108.94,0.0,0.0,8.72,117.66,Debit Card,,,
ORD_0000168,CUST_00033,2023-12-15,COMPLETE,North,WH_1,148.06,0.3,0.0,11.82,159.58,Credit Card,PRM05,,
ORD_0000169,CUST_00033,2024-03-03,COMPLETE,North,WH_2,109.52,0.0,0.0,8.76,118.28,Klarna,,,
ORD_0000170,CUST_00033,2024-06-05,COMPLETE,North,WH_2,550.4,0.0,0.0,44.03,594.43,Credit Card,,,
ORD_0000171,CUST_00034,2024-03-11,COMPLETE,South,WH_5,64.49,0.0,6.99,5.16,76.64,Debit Card,,,
ORD_0000172,CUST_00034,2024-05-14,COMPLETE,South,WH_2,91.17,0.0,0.0,7.29,98.46,Debit Card,,,
ORD_0000173,CUST_00034,2024-06-09,COMPLETE,South,WH_2,220.2,0.0,0.0,17.62,237.82,Credit Card,,,
ORD_0000174,CUST_00034,2024-06-27,COMPLETE,South,WH_3,180.6,0.0,0.0,14.45,195.05,Credit Card,,,
ORD_0000175,CUST_00034,2024-10-23,COMPLETE,South,WH_3,221.8,0.0,0.0,17.74,239.54,Credit Card,,,
ORD_0000176,CUST_00034,2024-11-09,COMPLETE,South,WH_5,44.94,0.0,6.99,3.6,55.53,Credit Card,,,
ORD_0000177,CUST_00034,2024-12-08,COMPLETE,South,WH_2,239.3,0.0,0.0,19.14,258.44,Apple Pay,,,
ORD_0000178,CUST_00034,2024-12-26,COMPLETE,South,WH_2,49.64,0.0,6.99,3.97,60.6,PayPal,,,
ORD_0000179,CUST_00035,2024-11-27,COMPLETE,North,WH_1,17.94,0.0,6.99,1.44,26.37,Debit Card,,,
ORD_0000180,CUST_00035,2024-11-30,COMPLETE,North,WH_1,50.35,0.0,6.99,4.03,61.37,Credit Card,,,
ORD_0000181,CUST_00037,2023-03-09,COMPLETE,South,WH_4,107.73,0.0,0.0,8.62,116.35,Credit Card,,,
ORD_0000182,CUST_00037,2023-05-13,COMPLETE,South,WH_2,107.79,0.0,0.0,8.62,116.41,Credit Card,,,
ORD_0000183,CUST_00037,2023-06-12,COMPLETE,South,WH_2,272.94,0.0,0.0,21.84,294.78,Credit Card,,,
ORD_0000184,CUST_00037,2023-06-15,COMPLETE,South,WH_4,41.55,0.0,6.99,3.32,51.86,Credit Card,,,
ORD_0000185,CUST_00037,2023-06-18,COMPLETE,South,WH_4,41.56,0.0,6.99,3.32,51.87,Credit Card,,,
ORD_0000186,CUST_00037,2023-06-21,COMPLETE,South,WH_2,41.57,0.0,6.99,3.33,51.89,Credit Card,,,
ORD_0000187,CUST_00037,2023-08-19,CANCELED,South,WH_2,216.74,0.0,0.0,17.34,234.08,Credit Card,,2023-08-20,Ordered by mistake
ORD_0000188,CUST_00037,2023-10-08,COMPLETE,South,WH_4,108.66,0.0,0.0,8.69,117.35,PayPal,,,
ORD_0000189,CUST_00037,2023-12-28,COMPLETE,South,WH_4,260.27,0.0,0.0,20.82,281.09,Credit Card,,,
ORD_0000190,CUST_00037,2024-03-01,COMPLETE,South,WH_2,221.66,0.0,0.0,17.73,239.39,Credit Card,,,
ORD_0000191,CUST_00037,2024-03-28,COMPLETE,South,WH_2,109.67,0.0,0.0,8.77,118.44,PayPal,,,
ORD_0000192,CUST_00037,2024-05-12,COMPLETE,South,WH_1,329.79,0.0,0.0,26.38,356.17,Debit Card,,,
ORD_0000193,CUST_00037,2024-07-15,PENDING,South,WH_4,17.81,0.04,6.99,1.42,26.18,Apple Pay,PRM08,,
ORD_0000194,CUST_00037,2024-10-25,COMPLETE,South,WH_2,110.91,0.0,0.0,8.87,119.78,Credit Card,,,
ORD_0000195,CUST_00038,2023-08-12,COMPLETE,West,WH_1,43.86,0.0,6.99,3.51,54.36,Credit Card,,,
ORD_0000196,CUST_00038,2023-09-01,COMPLETE,West,WH_4,108.44,0.0,0.0,8.68,117.12,Credit Card,,,
ORD_0000197,CUST_00038,2023-11-06,COMPLETE,West,WH_4,28.8,0.0,6.99,2.3,38.09,Credit Card,,,
ORD_0000198,CUST_00038,2023-11-25,COMPLETE,West,WH_4,33.54,0.1,6.99,2.68,43.11,Klarna,PRM04,,
ORD_0000199,CUST_00038,2023-11-28,COMPLETE,West,WH_4,158.33,0.0,0.0,12.67,171.0,Credit Card,,,
ORD_0000200,CUST_00038,2024-09-10,COMPLETE,West,WH_3,60.46,0.0,6.99,4.84,72.29,Credit Card,,,
ORD_0000201,CUST_00038,2024-10-16,COMPLETE,West,WH_4,53.7,0.0,6.99,4.3,64.99,PayPal,,,
ORD_0000202,CUST_00038,2024-10-21,COMPLETE,West,WH_4,236.68,0.0,0.0,18.93,255.61,Credit Card,,,
ORD_0000203,CUST_00039,2023-11-17,COMPLETE,North,WH_1,435.6,0.0,0.0,34.85,470.45,Debit Card,,,
ORD_0000204,CUST_00040,2023-10-20,PENDING,North,WH_1,48.3,0.0,6.99,3.86,59.15,Debit Card,,,
ORD_0000205,CUST_00040,2023-12-28,COMPLETE,North,WH_1,109.14,0.0,0.0,8.73,117.87,Debit Card,,,
ORD_0000206,CUST_00041,2024-05-09,COMPLETE,North,WH_1,109.92,0.0,0.0,8.79,118.71,Credit Card,,,
ORD_0000207,CUST_00041,2024-10-01,COMPLETE,North,WH_1,77.07,0.0,0.0,6.17,83.24,Credit Card,,,
ORD_0000208,CUST_00042,2023-12-24,COMPLETE,South,WH_2,327.33,0.0,0.0,26.19,353.52,PayPal,,,
ORD_0000209,CUST_00042,2024-10-11,COMPLETE,South,WH_2,70.08,0.0,6.99,5.61,82.68,Credit Card,,,
ORD_0000210,CUST_00042,2024-12-13,COMPLETE,South,WH_2,65.69,0.0,6.99,5.26,77.94,Credit Card,,,
