po_id,supplier_id,product_id,warehouse_id,order_date,expected_delivery_date,received_date,qty_ordered,qty_received,unit_cost,total_value,actual_lead_days,status
PO_000103,SUP_004,PRD_0013,WH_3,2023-10-28,2023-11-04,2023-11-05,116,116,27.75,3219.0,8,Received
PO_000104,SUP_001,PRD_0007,WH_2,2023-10-29,2023-11-03,2023-11-01,50,50,25.42,1271.0,3,Received
PO_000105,SUP_004,PRD_0013,WH_1,2023-10-29,2023-11-05,2023-11-05,168,168,27.79,4668.72,7,Received
PO_000106,SUP_006,PRD_0001,WH_3,2023-10-30,2023-11-17,2023-11-15,453,453,49.45,22400.85,16,Received
PO_000107,SUP_004,PRD_0013,WH_4,2023-11-02,2023-11-09,2023-11-08,107,107,28.07,3003.49,6,Received
PO_000108,SUP_004,PRD_0013,WH_5,2023-11-02,2023-11-09,2023-11-08,66,66,27.13,1790.58,6,Received
PO_000109,SUP_006,PRD_0001,WH_5,2023-11-03,2023-11-21,2023-11-23,262,262,47.42,12424.04,20,Received
PO_000110,SUP_001,PRD_0007,WH_1,2023-11-05,2023-11-10,2023-11-10,50,50,25.33,1266.5,5,Received
PO_000111,SUP_001,PRD_0007,WH_3,2023-11-06,2023-11-11,2023-11-13,50,50,26.06,1303.0,7,Received
PO_000112,SUP_004,PRD_0013,WH_2,2023-11-08,2023-11-15,2023-11-17,128,128,28.23,3613.44,9,Received
PO_000113,SUP_006,PRD_0001,WH_2,2023-11-11,2023-11-29,2023-11-30,515,515,50.14,25822.1,19,Received
PO_000114,SUP_001,PRD_0007,WH_2,2023-11-12,2023-11-17,2023-11-21,50,50,26.29,1314.5,9,Received
PO_000115,SUP_004,PRD_0013,WH_3,2023-11-12,2023-11-19,2023-11-18,122,122,26.77,3265.94,6,Received
PO_000116,SUP_006,PRD_0001,WH_4,2023-11-13,2023-12-01,2023-11-28,408,408,49.9,20359.2,15,Received
PO_000117,SUP_004,PRD_0013,WH_1,2023-11-13,2023-11-20,2023-11-18,178,178,27.47,4889.66,5,Received
PO_000118,SUP_004,PRD_0013,WH_4,2023-11-13,2023-11-20,,108,0,28.17,3042.36,,Cancelled
PO_000119,SUP_004,PRD_0013,WH_5,2023-11-13,2023-11-20,2023-11-16,73,73,26.83,1958.59,3,Received
PO_000120,SUP_004,PRD_0013,WH_4,2023-11-14,2023-11-21,2023-11-25,120,120,26.97,3236.4,11,Received
PO_000121,SUP_002,PRD_0021,WH_3,2023-11-14,2023-12-09,,200,0,31.24,6248.0,,Cancelled
PO_000122,SUP_002,PRD_0021,WH_3,2023-11-15,2023-12-10,2023-12-12,200,200,31.15,6230.0,27,Received
PO_000123,SUP_001,PRD_0007,WH_4,2023-11-16,2023-11-21,2023-11-21,50,50,24.9,1245.0,5,Received
PO_000124,SUP_006,PRD_0001,WH_3,2023-11-19,2023-12-07,2023-12-01,457,457,47.8,21844.6,12,Received
PO_000125,SUP_004,PRD_0013,WH_2,2023-11-20,2023-11-27,2023-11-26,131,131,27.69,3627.39,6,Received
PO_000126,SUP_001,PRD_0007,WH_1,2023-11-21,2023-11-26,2023-11-26,50,40,25.46,1273.0,5,Partially Received
PO_000127,SUP_001,PRD_0007,WH_3,2023-11-21,2023-11-26,2023-11-24,50,50,25.64,1282.0,3,Received
PO_000128,SUP_004,PRD_0013,WH_5,2023-11-22,2023-11-29,2023-11-27,72,72,28.12,2024.64,5,Received
PO_000129,SUP_007,PRD_0015,WH_3,2023-11-22,2023-12-14,2023-12-29,180,180,35.65,6417.0,37,Received
PO_000130,SUP_002,PRD_0021,WH_1,2023-11-22,2023-12-17,2023-12-10,200,200,31.88,6376.0,18,Received
PO_000131,SUP_007,PRD_0015,WH_1,2023-11-23,2023-12-15,2023-12-01,180,180,35.83,6449.4,8,Received
PO_000132,SUP_002,PRD_0021,WH_2,2023-11-23,2023-12-18,2024-01-13,200,200,31.06,6212.0,51,Received
PO_000133,SUP_004,PRD_0013,WH_1,2023-11-25,2023-12-02,2023-11-30,175,175,26.86,4700.5,5,Received
PO_000134,SUP_004,PRD_0013,WH_3,2023-11-25,2023-12-02,2023-12-01,121,121,27.82,3366.22,6,Received
PO_000135,SUP_006,PRD_0018,WH_1,2023-11-25,2023-12-13,2023-12-23,120,120,23.94,2872.8,28,Received
PO_000136,SUP_006,PRD_0001,WH_5,2023-11-26,2023-12-14,2023-12-12,260,260,48.89,12711.4,16,Received
PO_000137,SUP_001,PRD_0007,WH_4,2023-11-29,2023-12-04,2023-12-04,50,50,24.98,1249.0,5,Received
PO_000138,SUP_001,PRD_0007,WH_1,2023-11-30,2023-12-05,2023-12-05,50,50,25.3,1265.0,5,Received
PO_000139,SUP_006,PRD_0001,WH_4,2023-12-01,2023-12-19,2023-12-28,400,400,49.58,19832.0,27,Received
PO_000140,SUP_001,PRD_0007,WH_2,2023-12-01,2023-12-06,2023-12-17,50,50,26.3,1315.0,16,Received
PO_000141,SUP_004,PRD_0013,WH_4,2023-12-01,2023-12-08,2023-12-08,108,108,26.94,2909.52,7,Received
PO_000142,SUP_004,PRD_0013,WH_2,2023-12-02,2023-12-09,2023-12-11,128,128,27.52,3522.56,9,Received
PO_000143,SUP_007,PRD_0015,WH_5,2023-12-02,2023-12-24,2023-12-22,180,180,36.43,6557.4,20,Received
PO_000144,SUP_002,PRD_0021,WH_4,2023-12-03,2023-12-28,2023-12-15,200,156,32.5,6500.0,12,Partially Received
PO_000145,SUP_006,PRD_0001,WH_2,2023-12-04,2023-12-22,2023-12-29,515,515,47.97,24704.55,25,Received
PO_000146,SUP_001,PRD_0007,WH_3,2023-12-04,2023-12-09,2023-12-09,50,50,25.02,1251.0,5,Received
PO_000147,SUP_004,PRD_0013,WH_1,2023-12-04,2023-12-11,2023-12-10,173,173,26.93,4658.89,6,Received
PO_000148,SUP_007,PRD_0015,WH_4,2023-12-04,2023-12-26,2023-12-18,180,180,36.52,6573.6,14,Received
PO_000149,SUP_006,PRD_0001,WH_3,2023-12-05,2023-12-23,2023-12-23,475,475,48.17,22880.75,18,Received
PO_000150,SUP_004,PRD_0013,WH_5,2023-12-05,2023-12-12,2023-12-13,72,72,26.85,1933.2,8,Received
PO_000151,SUP_004,PRD_0013,WH_3,2023-12-07,2023-12-14,2023-12-12,128,128,26.99,3454.72,5,Received
PO_000152,SUP_001,PRD_0007,WH_1,2023-12-09,2023-12-14,2023-12-13,50,50,25.81,1290.5,4,Received
PO_000153,SUP_004,PRD_0013,WH_4,2023-12-14,2023-12-21,2023-12-19,109,109,26.94,2936.46,5,Received
PO_000154,SUP_006,PRD_0001,WH_5,2023-12-15,2024-01-02,2023-12-29,264,264,47.85,12632.4,14,Received
PO_000155,SUP_004,PRD_0013,WH_1,2023-12-15,2023-12-22,2023-12-19,172,172,28.15,4841.8,4,Received
PO_000156,SUP_004,PRD_0013,WH_2,2023-12-15,2023-12-22,2023-12-22,138,138,27.34,3772.92,7,Received
PO_000157,SUP_001,PRD_0007,WH_4,2023-12-17,2023-12-22,2023-12-25,50,50,25.87,1293.5,8,Received
PO_000158,SUP_004,PRD_0013,WH_3,2023-12-18,2023-12-25,2023-12-23,116,116,28.32,3285.12,5,Received
PO_000159,SUP_004,PRD_0013,WH_5,2023-12-18,2023-12-25,2023-12-24,70,70,27.17,1901.9,6,Received
PO_000160,SUP_006,PRD_0001,WH_1,2023-12-19,2024-01-06,2024-01-02,648,648,49.68,32192.64,14,Received
PO_000161,SUP_002,PRD_0021,WH_1,2023-12-19,2024-01-13,2024-01-09,200,200,31.06,6212.0,21,Received
PO_000162,SUP_001,PRD_0007,WH_1,2023-12-21,2023-12-26,2023-12-27,50,50,26.38,1319.0,6,Received
PO_000163,SUP_004,PRD_0013,WH_4,2023-12-23,2023-12-30,2024-01-02,119,119,26.85,3195.15,10,Received
PO_000164,SUP_007,PRD_0015,WH_1,2023-12-23,2024-01-14,2024-01-06,180,180,36.71,6607.8,14,Received
PO_000165,SUP_001,PRD_0007,WH_3,2023-12-24,2023-12-29,2023-12-29,50,50,25.28,1264.0,5,Received
PO_000166,SUP_004,PRD_0013,WH_1,2023-12-25,2024-01-01,2024-01-07,165,165,27.98,4616.7,13,Received
PO_000167,SUP_007,PRD_0015,WH_2,2023-12-25,2024-01-16,2024-01-19,180,180,36.8,6624.0,25,Received
PO_000168,SUP_001,PRD_0007,WH_2,2023-12-26,2023-12-31,2023-12-30,50,50,25.79,1289.5,4,Received
PO_000169,SUP_004,PRD_0013,WH_3,2023-12-26,2024-01-02,2024-01-02,115,115,27.81,3198.15,7,Received
PO_000170,SUP_006,PRD_0001,WH_3,2023-12-27,2024-01-14,2024-01-16,469,469,47.64,22343.16,20,Received
PO_000171,SUP_004,PRD_0013,WH_2,2023-12-27,2024-01-03,2024-01-01,144,144,28.37,4085.28,5,Received
PO_000172,SUP_004,PRD_0013,WH_5,2023-12-30,2024-01-06,2024-01-03,72,72,28.22,2031.84,4,Received
PO_000173,SUP_006,PRD_0001,WH_4,2023-12-31,2024-01-18,2024-01-27,411,411,49.19,20217.09,27,Received
PO_000174,SUP_006,PRD_0001,WH_2,2024-01-01,2024-01-19,2024-01-18,499,499,49.8,24850.2,17,Received
PO_000175,SUP_001,PRD_0007,WH_1,2024-01-01,2024-01-06,2024-01-17,54,54,26.37,1423.98,16,Received
PO_000176,SUP_002,PRD_0021,WH_3,2024-01-01,2024-01-26,2024-01-19,200,200,31.49,6298.0,18,Received
PO_000177,SUP_006,PRD_0001,WH_5,2024-01-03,2024-01-21,2024-01-27,275,275,47.5,13062.5,24,Received
PO_000178,SUP_001,PRD_0007,WH_4,2024-01-03,2024-01-08,2024-01-06,50,50,25.87,1293.5,3,Received
PO_000179,SUP_006,PRD_0001,WH_1,2024-01-05,2024-01-23,2024-01-21,636,636,48.53,30865.08,16,Received
PO_000180,SUP_004,PRD_0013,WH_4,2024-01-06,2024-01-13,2024-01-11,105,105,28.27,2968.35,5,Received
PO_000181,SUP_004,PRD_0013,WH_3,2024-01-07,2024-01-14,2024-01-11,123,123,28.32,3483.36,4,Received
PO_000182,SUP_001,PRD_0007,WH_2,2024-01-08,2024-01-13,2024-01-12,50,50,25.5,1275.0,4,Received
PO_000183,SUP_004,PRD_0013,WH_2,2024-01-08,2024-01-15,2024-01-12,139,139,27.29,3793.31,4,Received
PO_000184,SUP_001,PRD_0007,WH_3,2024-01-09,2024-01-14,2024-01-13,50,50,25.43,1271.5,4,Received
PO_000185,SUP_004,PRD_0013,WH_5,2024-01-09,2024-01-16,2024-01-16,66,66,27.33,1803.78,7,Received
PO_000186,SUP_004,PRD_0013,WH_1,2024-01-12,2024-01-19,2024-01-20,180,180,27.73,4991.4,8,Received
PO_000187,SUP_002,PRD_0021,WH_4,2024-01-12,2024-02-06,2024-02-12,200,200,31.88,6376.0,31,Received
PO_000188,SUP_001,PRD_0007,WH_4,2024-01-17,2024-01-22,2024-01-20,50,50,25.69,1284.5,3,Received
PO_000189,SUP_004,PRD_0013,WH_4,2024-01-19,2024-01-26,2024-01-27,107,107,27.2,2910.4,8,Received
PO_000190,SUP_006,PRD_0001,WH_3,2024-01-20,2024-02-07,2024-02-04,467,467,49.91,23307.97,15,Received
PO_000191,SUP_007,PRD_0015,WH_3,2024-01-20,2024-02-11,2024-01-27,180,180,36.48,6566.4,7,Received
PO_000192,SUP_006,PRD_0018,WH_1,2024-01-20,2024-02-07,2024-02-05,120,120,25.04,3004.8,16,Received
PO_000193,SUP_004,PRD_0013,WH_2,2024-01-21,2024-01-28,2024-01-26,136,136,27.57,3749.52,5,Received
PO_000194,SUP_004,PRD_0013,WH_3,2024-01-21,2024-01-28,2024-02-12,115,115,28.33,3257.95,22,Received
PO_000195,SUP_004,PRD_0013,WH_5,2024-01-22,2024-01-29,2024-01-31,70,70,28.3,1981.0,9,Received
PO_000196,SUP_006,PRD_0001,WH_2,2024-01-23,2024-02-10,2024-02-13,515,515,48.72,25090.8,21,Received
PO_000197,SUP_001,PRD_0007,WH_1,2024-01-23,2024-01-28,2024-01-29,51,51,26.21,1336.71,6,Received
PO_000198,SUP_001,PRD_0007,WH_2,2024-01-23,2024-01-28,2024-01-28,50,50,26.25,1312.5,5,Received
PO_000199,SUP_007,PRD_0015,WH_4,2024-01-23,2024-02-14,2024-02-14,180,180,37.3,6714.0,22,Received
PO_000200,SUP_006,PRD_0018,WH_3,2024-01-23,2024-02-10,2024-02-05,120,120,24.29,2914.8,13,Received
PO_000201,SUP_002,PRD_0021,WH_1,2024-01-23,2024-02-17,2024-02-24,200,200,32.47,6494.0,32,Received
PO_000202,SUP_001,PRD_0007,WH_3,2024-01-24,2024-01-29,2024-02-11,50,42,25.54,1277.0,18,Partially Received
PO_000203,SUP_007,PRD_0015,WH_1,2024-01-24,2024-02-15,2024-03-01,180,180,36.14,6505.2,37,Received
PO_000204,SUP_006,PRD_0001,WH_1,2024-01-25,2024-02-12,2024-02-10,632,632,49.7,31410.4,16,Received
PO_000205,SUP_004,PRD_0013,WH_1,2024-01-26,2024-02-02,2024-02-01,167,167,27.93,4664.31,6,Received
PO_000206,SUP_001,PRD_0007,WH_4,2024-01-30,2024-02-04,2024-02-06,50,50,25.61,1280.5,7,Received
PO_000207,SUP_006,PRD_0001,WH_4,2024-01-31,2024-02-18,2024-02-15,416,416,47.59,19797.44,15,Received
PO_000208,SUP_006,PRD_0001,WH_5,2024-02-01,2024-02-19,2024-02-12,261,261,47.32,12350.52,11,Received
PO_000209,SUP_004,PRD_0013,WH_2,2024-02-01,2024-02-08,2024-02-07,137,137,27.6,3781.2,6,Received
PO_000210,SUP_004,PRD_0013,WH_4,2024-02-02,2024-02-09,2024-02-08,105,105,27.7,2908.5,6,Received
PO_000211,SUP_001,PRD_0007,WH_1,2024-02-03,2024-02-08,2024-02-09,50,50,25.52,1276.0,6,Received
PO_000212,SUP_001,PRD_0007,WH_2,2024-02-03,2024-02-08,2024-02-11,50,50,25.98,1299.0,8,Received
PO_000213,SUP_004,PRD_0013,WH_5,2024-02-07,2024-02-14,2024-02-14,68,68,28.14,1913.52,7,Received
PO_000214,SUP_002,PRD_0021,WH_2,2024-02-07,2024-03-03,,200,0,31.24,6248.0,,Cancelled
PO_000215,SUP_006,PRD_0001,WH_3,2024-02-08,2024-02-26,2024-02-24,448,448,47.57,21311.36,16,Received
PO_000216,SUP_004,PRD_0013,WH_1,2024-02-08,2024-02-15,2024-02-14,170,170,27.52,4678.4,6,Received
PO_000217,SUP_002,PRD_0021,WH_2,2024-02-08,2024-03-04,2024-02-20,200,200,32.22,6444.0,12,Received
PO_000218,SUP_001,PRD_0007,WH_5,2024-02-10,2024-02-15,2024-02-14,50,50,26.37,1318.5,4,Received
PO_000219,SUP_006,PRD_0018,WH_2,2024-02-12,2024-03-01,2024-03-02,120,120,23.87,2864.4,19,Received
PO_000220,SUP_001,PRD_0007,WH_1,2024-02-14,2024-02-19,2024-02-20,50,50,25.28,1264.0,6,Received
